running on Julia 1.8.5 (8 Threads)
simulation_pattern: 10800
file_name: data/20230324_103925/7.csv
file_name: data/20230324_103925/25.csv
file_name: data/20230324_103925/1.csv
file_name: data/20230324_103925/19.csv
file_name: data/20230324_103925/37.csv
file_name: data/20230324_103925/13.csv
file_name: data/20230324_103925/43.csv
file_name: data/20230324_103925/31.csv
17:32:52 data/20230324_103925/37.csv 88.88888888888889%
17:34:25 data/20230324_103925/13.csv 91.66666666666666%
17:34:34 data/20230324_103925/1.csv 81.48148148148148%
17:35:17 data/20230324_103925/43.csv 81.48148148148148%
17:35:27 data/20230324_103925/19.csv 87.03703703703704%
17:35:33 data/20230324_103925/31.csv 90.74074074074075%
17:35:51 data/20230324_103925/37.csv 89.81481481481481%
17:36:56 data/20230324_103925/7.csv 84.25925925925925%
17:37:22 data/20230324_103925/13.csv 92.5925925925926%
17:37:28 data/20230324_103925/1.csv 82.4074074074074%
17:38:12 data/20230324_103925/43.csv 82.4074074074074%
17:38:22 data/20230324_103925/25.csv 93.51851851851852%
17:38:30 data/20230324_103925/19.csv 87.96296296296296%
17:38:31 data/20230324_103925/31.csv 91.66666666666666%
17:38:52 data/20230324_103925/37.csv 90.74074074074075%
17:40:30 data/20230324_103925/13.csv 93.51851851851852%
17:40:36 data/20230324_103925/1.csv 83.33333333333334%
17:41:15 data/20230324_103925/43.csv 83.33333333333334%
17:41:23 data/20230324_103925/25.csv 94.44444444444444%
17:41:32 data/20230324_103925/31.csv 92.5925925925926%
17:41:40 data/20230324_103925/19.csv 88.88888888888889%
17:41:51 data/20230324_103925/37.csv 91.66666666666666%
17:42:51 data/20230324_103925/7.csv 85.18518518518519%
17:43:24 data/20230324_103925/13.csv 94.44444444444444%
17:44:18 data/20230324_103925/25.csv 95.37037037037037%
17:44:30 data/20230324_103925/31.csv 93.51851851851852%
17:44:34 data/20230324_103925/19.csv 89.81481481481481%
17:44:52 data/20230324_103925/37.csv 92.5925925925926%
17:45:45 data/20230324_103925/7.csv 86.11111111111111%
17:46:14 data/20230324_103925/13.csv 95.37037037037037%
17:47:14 data/20230324_103925/43.csv 84.25925925925925%
17:47:16 data/20230324_103925/25.csv 96.29629629629629%
17:47:18 data/20230324_103925/31.csv 94.44444444444444%
17:47:24 data/20230324_103925/19.csv 90.74074074074075%
17:47:42 data/20230324_103925/37.csv 93.51851851851852%
17:48:38 data/20230324_103925/7.csv 87.03703703703704%
17:49:12 data/20230324_103925/13.csv 96.29629629629629%
17:50:17 data/20230324_103925/31.csv 95.37037037037037%
17:50:23 data/20230324_103925/19.csv 91.66666666666666%
17:50:39 data/20230324_103925/37.csv 94.44444444444444%
17:50:42 data/20230324_103925/25.csv 97.22222222222221%
17:52:00 data/20230324_103925/13.csv 97.22222222222221%
17:52:51 data/20230324_103925/43.csv 85.18518518518519%
17:52:55 data/20230324_103925/31.csv 96.29629629629629%
17:53:14 data/20230324_103925/37.csv 95.37037037037037%
17:53:17 data/20230324_103925/25.csv 98.14814814814815%
17:54:35 data/20230324_103925/13.csv 98.14814814814815%
17:55:05 data/20230324_103925/1.csv 84.25925925925925%
17:55:28 data/20230324_103925/43.csv 86.11111111111111%
17:55:33 data/20230324_103925/31.csv 97.22222222222221%
17:55:54 data/20230324_103925/25.csv 99.07407407407408%
17:57:12 data/20230324_103925/13.csv 99.07407407407408%
17:57:42 data/20230324_103925/1.csv 85.18518518518519%
17:58:05 data/20230324_103925/43.csv 87.03703703703704%
17:58:10 data/20230324_103925/31.csv 98.14814814814815%
17:58:32 data/20230324_103925/25.csv 100.0%
26345.545100 seconds (132.04 G allocations: 96.662 TiB, 30.90% gc time, 0.00% compilation time)
file_name: data/20230324_103925/26.csv
17:59:50 data/20230324_103925/13.csv 100.0%
26423.944655 seconds (132.41 G allocations: 96.950 TiB, 30.90% gc time, 0.00% compilation time)
file_name: data/20230324_103925/14.csv
18:00:19 data/20230324_103925/1.csv 86.11111111111111%
18:00:20 data/20230324_103925/7.csv 87.96296296296296%
18:00:46 data/20230324_103925/31.csv 99.07407407407408%
18:01:50 data/20230324_103925/19.csv 92.5925925925926%
18:02:43 data/20230324_103925/1.csv 87.03703703703704%
18:02:48 data/20230324_103925/7.csv 88.88888888888889%
18:03:12 data/20230324_103925/31.csv 100.0%
26626.059316 seconds (133.24 G allocations: 97.609 TiB, 30.86% gc time, 0.00% compilation time)
file_name: data/20230324_103925/32.csv
18:04:19 data/20230324_103925/19.csv 93.51851851851852%
18:04:20 data/20230324_103925/37.csv 96.29629629629629%
18:05:16 data/20230324_103925/1.csv 87.96296296296296%
18:05:21 data/20230324_103925/7.csv 89.81481481481481%
18:06:48 data/20230324_103925/19.csv 94.44444444444444%
18:06:49 data/20230324_103925/37.csv 97.22222222222221%
18:07:45 data/20230324_103925/7.csv 90.74074074074075%
18:08:20 data/20230324_103925/32.csv 0.9259259259259258%
18:09:25 data/20230324_103925/19.csv 95.37037037037037%
18:09:25 data/20230324_103925/37.csv 98.14814814814815%
18:09:36 data/20230324_103925/43.csv 87.96296296296296%
18:10:32 data/20230324_103925/7.csv 91.66666666666666%
18:10:46 data/20230324_103925/1.csv 88.88888888888889%
18:11:31 data/20230324_103925/26.csv 0.9259259259259258%
18:12:06 data/20230324_103925/37.csv 99.07407407407408%
18:12:08 data/20230324_103925/19.csv 96.29629629629629%
18:13:14 data/20230324_103925/7.csv 92.5925925925926%
18:13:25 data/20230324_103925/1.csv 89.81481481481481%
18:14:47 data/20230324_103925/37.csv 100.0%
27321.066797 seconds (136.32 G allocations: 100.047 TiB, 30.82% gc time, 0.00% compilation time)
file_name: data/20230324_103925/38.csv
18:14:57 data/20230324_103925/32.csv 1.8518518518518516%
18:15:14 data/20230324_103925/43.csv 88.88888888888889%
18:15:34 data/20230324_103925/14.csv 0.9259259259259258%
18:15:55 data/20230324_103925/7.csv 93.51851851851852%
18:16:04 data/20230324_103925/1.csv 90.74074074074075%
18:16:19 data/20230324_103925/26.csv 1.8518518518518516%
18:17:43 data/20230324_103925/19.csv 97.22222222222221%
18:17:54 data/20230324_103925/43.csv 89.81481481481481%
18:18:37 data/20230324_103925/7.csv 94.44444444444444%
18:18:46 data/20230324_103925/1.csv 91.66666666666666%
18:20:30 data/20230324_103925/19.csv 98.14814814814815%
18:20:47 data/20230324_103925/26.csv 2.7777777777777777%
18:21:02 data/20230324_103925/43.csv 90.74074074074075%
18:21:06 data/20230324_103925/14.csv 1.8518518518518516%
18:21:22 data/20230324_103925/7.csv 95.37037037037037%
18:21:34 data/20230324_103925/1.csv 92.5925925925926%
18:23:19 data/20230324_103925/19.csv 99.07407407407408%
18:23:29 data/20230324_103925/38.csv 0.9259259259259258%
18:23:46 data/20230324_103925/43.csv 91.66666666666666%
18:24:08 data/20230324_103925/7.csv 96.29629629629629%
