network_type,T,S,f_c
scale_free_random,1.5,-0.25,0.0
scale_free_random,1.5,0.0,0.09269903846153844
scale_free_random,1.5,0.25,0.5867185576923074
scale_free_random,1.5,0.5,0.6820653846153849
scale_free_random,1.5,0.75,0.7101701923076921
scale_free_random,1.5,1.0,0.7663355769230769
scale_free_random,1.75,-1.0,0.0
scale_free_random,1.75,-0.75,0.0
scale_free_random,1.75,-0.5,0.0
scale_free_random,1.75,-0.25,0.0
scale_free_random,1.75,0.0,0.0
scale_free_random,1.75,0.25,0.4048880769230767
scale_free_random,1.75,0.5,0.5499144230769228
scale_free_random,1.75,0.75,0.6263370192307695
scale_free_random,1.75,1.0,0.663863173076923
scale_free_random,2.0,-1.0,0.0
scale_free_random,2.0,-0.75,0.0
scale_free_random,2.0,-0.5,0.0
scale_free_random,2.0,-0.25,0.0
scale_free_random,2.0,0.0,0.0002884615384615395
scale_free_random,2.0,0.25,0.30299
scale_free_random,2.0,0.5,0.4468722115384613
scale_free_random,2.0,0.75,0.5227177884615388
scale_free_random,2.0,1.0,0.5890996153846154
